id,sitio+variante,Espesor_1,Espesor_2,Espesor_3
1,sitio2_variante1,3.15839593311416,15.045393777671727,41.161255816308504
2,sitio2_variante2,3.282015371963512,19.150387880753314,38.033709239111325
3,sitio2_variante3,2.6003113946622523,5.127730080027673,41.7132281261852
4,sitio2_variante4,2.706320073379058,21.677335367617573,47.26175762938778
5,sitio2_variante5,2.0826600962536794,21.697437459175216,39.17996839557086
6,sitio2_variante6,1.3748433960685231,15.983456212650998,61.71947304389644
7,sitio2_variante7,1.832757396455642,13.933880666121599,64.11822594888434
8,sitio2_variante8,2.964964532575174,5.192127722119904,32.78901767945162
9,sitio2_variante9,2.3547518310341626,17.607727445597327,35.56914316867118
10,sitio2_variante10,2.439187535447715,16.618789232617694,32.30345776762403
11,sitio2_variante11,1.4214633031069543,4.800767236886771,63.10050040050031
12,sitio2_variante12,1.368030499721628,15.023518760871562,44.976299714057134
13,sitio2_variante13,2.069632366781344,6.333869595956674,55.50020429448604
14,sitio2_variante14,2.529186294601516,20.304708923556504,48.33269145951358
15,sitio2_variante15,1.377087100924375,21.007542929015216,53.91475059987861
16,sitio2_variante16,1.9457225274014394,8.06844401264911,38.873791397779286
17,sitio2_variante17,2.253538816002198,11.943265500235967,55.652275477965475
18,sitio2_variante18,1.7519302880323149,17.744191460271487,34.06407792400725
19,sitio2_variante19,3.2907786136001476,22.659411972985204,32.11621437944511
20,sitio2_variante20,1.461746194604643,8.190726173475134,40.35026582707129
21,sitio2_variante21,3.210445503871753,9.668575031659657,58.50012916139967
22,sitio2_variante22,1.3669267685713613,14.940868765379822,36.01142325626541
23,sitio2_variante23,2.31668324508005,21.103088384617976,59.698670951419324
24,sitio2_variante24,2.471415315753564,7.812398616519188,52.37284775615721
25,sitio2_variante25,1.4230809859533233,16.660958534409446,34.9510041580624
26,sitio2_variante26,3.2011994077699812,18.778747103733917,56.80043724902768
27,sitio2_variante27,1.6398451840904156,5.930712834733282,51.57050408668993
28,sitio2_variante28,2.9294110402421616,12.64329715637118,34.43422853957775
29,sitio2_variante29,1.5397268105757533,4.679370240177993,64.11472571786692
30,sitio2_variante30,3.0835678801151225,7.122142663113064,48.08840590282521
31,sitio2_variante31,1.3603027541834267,8.702862019585282,33.047729201797296
32,sitio2_variante32,3.298947238148901,5.854104071624418,39.97862742496754
33,sitio2_variante33,3.152225027090558,12.862300196372928,51.8042710752147
