S2Espesor_1,S2Espesor_2,S7Espesor_1,S7Espesor_2,S7Espesor_3
3.312301348858682,4.5,7.026936744792249,14.0,102.7964698840237
2.779621733125915,5.723709653051958,6.475653569673796,14.05448327040534,194.361215423962
3.4532983539549313,4.674478749390865,3.0,16.124101559286753,115.60422888989592
3.5,7.63825626206303,9.399406006577628,20.01696747583784,130.8519628469983
2.706992512182503,16.234426288472505,3.0,25.875508573406734,171.23064536331498
2.7070047836221955,4.5,3.0,23.486228690144756,122.72031902590848
3.5,14.166871256660249,3.0,14.0,80.0
3.5,4.5,32.19962552900653,17.176178154160517,196.70059564373483
2.5366951318057613,4.5,3.3889193745687036,19.590882358540863,204.0
3.354497728049436,12.484437805038016,40.0,17.737300632748767,80.0
2.5409409387652104,13.41238564700453,12.448074796421892,17.70043148220784,80.44477362141122
2.539319321367221,12.771923233549405,7.966784796893089,14.0,204.0
3.0873153211780986,4.5,3.0,14.0,139.04032143408762
1.7026786911345084,5.120746653765363,3.0,17.01944051714708,126.05654439221514
1.7935784931603795,12.522553667708967,8.753439310555299,14.0,104.82184658654732
2.4725124370818548,7.281849697566108,4.144500643708065,23.120304518974187,80.88045251126059
2.1832881237847013,4.5,3.0,14.0,115.79133764655589
3.149554524040051,9.723374974550941,3.0,23.435966875747656,191.19503045543087
2.2473934198092267,4.5,3.0,22.83881349355496,125.02079087485748
1.9552750408975599,23.0,40.0,16.33053534768556,163.53976648425692
3.5,20.662761284103553,40.0,25.6967563363642,204.0
2.713261176147272,10.75822526079876,5.868100353530835,23.826936343487844,98.11557258776115
2.9421413535872047,18.188573676137782,5.468713325878435,17.49551528913154,143.33130601375163
1.9485679831006038,7.400257402288322,3.0,16.925671835377372,193.66954505710927
2.484766363109623,12.032411090137916,3.0,26.0,84.34655357779688
2.9776059248906437,19.722621506509146,25.565381935239966,20.50673761129094,135.85694359990276
2.1015665568660906,8.388691866083231,40.0,26.0,204.0
3.2034507976791167,5.927025167136651,3.0,14.0,108.76815124350189
2.4464681324405237,4.5,4.085891875809774,19.718450043010872,199.0573715444777
2.6643239996414927,6.678467512739479,3.0,14.0,118.46889963310154
2.4457468449583164,12.526329892607636,3.0,19.012049101303788,204.0
3.5,13.634712730209088,20.14990739198813,23.622337213367153,80.0
2.8770491449876765,10.039015141498023,3.0,26.0,129.4218273684869
2.1563995898795754,4.859938554203593,8.153001838555051,14.54481895842752,80.0
3.5,4.5,11.331692569711361,16.41699901703035,93.17576845412354
2.061422443675183,5.017830216523583,3.7921924733736083,18.626750548040892,92.93852224335508
3.059228551183638,5.728296320796375,13.941976848591574,14.390376804759786,112.24300621740771
1.681008104589352,5.694283341133876,5.459841574752637,25.531418466843096,80.0
2.001220383493288,10.866686376699096,20.95686177358669,18.766370111348632,122.0494370726969
3.0491068781604964,23.0,3.0,19.854787768650024,153.3580287142529
3.5,7.708052026266233,3.0,22.98177898015311,80.0
3.0277194574929243,6.0872822785955485,4.14294173368604,18.75746423051204,95.84974944721223
2.7970338580477634,5.910457886397312,3.0,15.06910059363112,204.0
2.6574104150645437,7.712628634833742,3.0,18.805383408869794,144.96173249660478
1.919849642518195,4.5,3.0,14.899125215569725,80.0
2.367254231874417,7.690261522041125,14.943099363167105,19.77349364802628,80.0
2.54289137041311,9.672875185112527,3.0,25.669533988900735,138.67507978921265
3.5,8.182835891701123,3.0,14.0,131.42006094223956
3.1752007016188584,9.718141598879756,12.677734012832994,14.0,97.8228163689196
